station_id,session_id,timestamp,voltage,current,power_kw,energy_kwh,meter_value_increment,interruption_flag,error_code,anomaly_label,anomaly_type
STATION_13,f6cc3bf5-ccb,2024-06-01 00:00:00,405.4,14.95,5.8517,0.0975,0.0983,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:01:00,399.96,17.48,6.9273,0.213,0.1166,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:02:00,405.38,13.0,5.1626,0.299,0.086,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:03:00,398.5,12.04,4.6455,0.3765,0.0767,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:04:00,403.11,17.89,7.0326,0.4937,0.1174,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:05:00,395.68,10.73,4.1034,0.5621,0.0685,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:06:00,395.04,17.32,6.5174,0.6707,0.1076,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:07:00,398.72,17.47,6.9348,0.7863,0.1148,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:08:00,404.3,26.46,10.4345,0.9602,0.1735,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:09:00,398.99,21.17,8.3035,1.0986,0.1393,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:10:00,407.28,18.41,7.4373,1.2225,0.1249,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:11:00,403.88,14.95,5.8424,1.3199,0.0965,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:12:00,406.52,12.31,4.8445,1.4006,0.0802,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:13:00,403.41,18.98,7.3359,1.5229,0.1231,0,0,0,normal
STATION_13,f6cc3bf5-ccb,2024-06-01 00:14:00,405.31,16.51,6.3954,1.6295,0.1073,0,0,0,normal
